id,make,model,year,price,mileage,engine_size,fuel_type,transmission,doors,color,tax,mpg,sold_date
33,Volkswagen,Model B,2014,19110,188860,4.8,Diesel,Manual,3,White,147,34.4,2022-04-19
34,Volkswagen,Model B,2005,13859,47019,4.1,Gasoline,Manual,4,Silver,208,44.9,2020-01-03
35,Honda,Model A,2022,16308,186020,1.0,Diesel,Automatic,3,Blue,395,10.6,2022-11-17
36,Honda,Model B,2022,16413,75133,1.0,Gasoline,Manual,3,Silver,105,27.4,2023-11-05
37,Honda,Model D,2018,18197,124444,2.5,Hybrid,Automatic,2,Red,137,19.0,2020-06-05
38,BMW,Model B,2019,14893,127603,1.6,Diesel,Manual,4,Grey,268,25.5,2022-05-04
39,Volkswagen,Model C,2016,14321,168598,1.1,Diesel,Automatic,5,Silver,455,26.6,2021-05-25
40,Volkswagen,Model B,2008,26540,138585,2.9,Electric,Manual,3,Red,382,39.9,2023-09-18
41,Ford,Model A,2007,27347,193270,4.8,Hybrid,Manual,2,Blue,302,13.8,2021-11-17
42,BMW,Model B,2016,10336,53395,2.3,Hybrid,Automatic,2,Grey,424,30.5,2023-02-11
43,Chevrolet,Model C,2011,3000,165103,3.6,Electric,Automatic,5,Silver,412,32.6,2023-11-13
44,BMW,Model C,2015,27443,135814,3.6,Electric,Manual,2,White,372,29.8,2023-06-27
45,Chevrolet,Model D,2005,11398,178773,2.0,Gasoline,Automatic,3,White,343,39.3,2021-07-24
46,Ford,Model B,2010,21489,122599,3.6,Gasoline,Automatic,2,Grey,426,25.4,2021-12-15
47,Toyota,Model C,2019,9040,35939,1.8,Diesel,Manual,4,White,146,47.8,2023-08-31
48,Volkswagen,Model A,2019,29084,190217,1.5,Diesel,Automatic,4,Silver,348,29.3,2020-08-26
49,Ford,Model D,2015,37805,161396,3.8,Diesel,Manual,3,Silver,178,32.8,2023-06-11
50,Volkswagen,Model A,2006,21279,163939,1.5,Diesel,Manual,4,Grey,209,43.0,2020-10-29
51,Honda,Model B,2018,19341,10203,5.0,Gasoline,Automatic,5,Silver,112,21.0,2021-08-29
52,Toyota,Model B,2006,17745,157616,1.7,Hybrid,Automatic,2,Red,494,13.0,2022-09-17
53,Toyota,Model B,2008,25472,156971,3.4,Diesel,Manual,3,Blue,479,38.3,2020-11-29
54,Ford,Model D,2021,23973,39063,2.6,Hybrid,Manual,5,White,464,29.3,2020-04-22
55,Toyota,Model C,2007,27024,100880,1.5,Diesel,Manual,2,Red,189,45.9,2020-12-27
56,Chevrolet,Model D,2017,15604,13748,1.1,Electric,Manual,5,Grey,441,49.3,2022-03-11
57,Toyota,Model A,2013,22380,127269,3.5,Diesel,Manual,3,White,447,26.0,2020-04-06
58,Volkswagen,Model D,2011,16202,90764,4.2,Diesel,Manual,3,Red,379,26.6,2020-01-16
59,Volkswagen,Model A,2019,12595,161956,4.4,Diesel,Automatic,5,Silver,320,26.3,2021-07-09
60,Volkswagen,Model D,2015,19712,166255,2.9,Gasoline,Automatic,2,Grey,172,23.0,2021-01-10
61,Volkswagen,Model C,2006,13542,118036,4.1,Electric,Automatic,4,Grey,333,41.3,2022-01-11
62,Chevrolet,Model A,2019,28216,160331,3.7,Diesel,Manual,4,White,359,40.4,2021-01-24
63,BMW,Model B,2018,13966,177031,3.9,Diesel,Automatic,5,Silver,212,29.1,2021-09-11
64,Honda,Model B,2015,22544,126525,3.0,Hybrid,Manual,3,White,145,11.8,2023-05-25
65,Ford,Model D,2007,15776,174529,3.5,Electric,Manual,2,Black,373,22.4,2023-11-23
66,Volkswagen,Model B,2021,21939,95679,4.2,Diesel,Automatic,2,Red,142,21.7,2023-07-07
67,Toyota,Model A,2016,16332,135829,2.6,Hybrid,Manual,3,Black,307,42.4,2022-04-03
68,Volkswagen,Model B,2019,11199,138216,4.2,Hybrid,Manual,4,Red,448,13.5,2020-11-15
69,Toyota,Model C,2020,23386,143175,3.4,Gasoline,Manual,2,Blue,202,42.2,2020-07-14
70,Honda,Model C,2009,18352,75901,1.7,Hybrid,Manual,5,Grey,223,36.8,2021-02-21
71,Honda,Model D,2010,22001,185607,1.1,Diesel,Manual,4,White,109,39.3,2021-08-29
72,Honda,Model A,2009,16998,157175,2.5,Gasoline,Manual,5,Blue,428,27.3,2021-07-21
73,Toyota,Model C,2007,10704,108046,3.2,Gasoline,Automatic,4,Blue,286,37.2,2021-06-27
74,Volkswagen,Model C,2005,27582,100012,4.4,Diesel,Manual,3,Grey,130,34.4,2020-08-18
75,Honda,Model A,2010,25157,88278,1.5,Electric,Manual,5,Grey,255,40.8,2022-06-02
76,Chevrolet,Model B,2019,16031,22391,4.2,Hybrid,Manual,5,Red,159,27.9,2021-06-04
77,Toyota,Model B,2006,20488,112476,4.5,Gasoline,Manual,3,Black,348,28.9,2021-12-03
78,Toyota,Model D,2007,27294,169973,1.6,Electric,Automatic,5,Silver,486,35.7,2023-05-08
79,Volkswagen,Model B,2021,16800,130721,4.4,Diesel,Automatic,4,Red,473,14.3,2022-04-25
80,Toyota,Model A,2016,17886,107537,5.0,Hybrid,Manual,2,Silver,369,27.4,2021-11-03
81,Toyota,Model C,2022,21705,91159,3.9,Hybrid,Manual,2,Blue,316,48.9,2020-01-21
82,Honda,Model B,2019,16786,141040,4.1,Gasoline,Manual,3,Silver,498,11.5,2023-08-27
83,Volkswagen,Model D,2016,25999,191429,5.0,Hybrid,Automatic,4,Black,101,22.6,2021-08-10
84,Honda,Model B,2020,18817,179509,3.4,Hybrid,Automatic,5,Red,123,22.6,2022-06-16
85,Honda,Model A,2012,14511,45503,2.2,Hybrid,Automatic,5,Grey,305,35.3,2023-12-28
86,Volkswagen,Model D,2018,24260,85403,4.4,Hybrid,Automatic,2,Black,419,14.2,2021-01-05
87,Ford,Model B,2021,12005,182330,3.5,Diesel,Manual,5,Black,298,35.1,2020-03-18
88,Honda,Model D,2012,34104,174796,3.3,Electric,Automatic,2,Red,455,13.8,2023-08-01
89,Chevrolet,Model A,2019,31077,74286,2.0,Diesel,Automatic,3,Grey,213,13.8,2021-10-09
90,Chevrolet,Model C,2018,23594,84842,4.0,Diesel,Manual,5,Black,379,39.1,2020-05-19
91,Toyota,Model A,2022,23005,114927,1.3,Gasoline,Manual,4,Grey,254,23.0,2021-07-06
92,Chevrolet,Model A,2011,22677,24908,4.7,Hybrid,Automatic,5,White,264,49.1,2022-09-24
93,Toyota,Model A,2007,16576,191698,2.3,Diesel,Automatic,2,White,321,11.5,2020-10-08
94,Ford,Model A,2016,22081,47228,1.5,Hybrid,Automatic,3,White,190,27.8,2023-07-05
95,Volkswagen,Model C,2007,13538,33386,2.8,Diesel,Automatic,2,Silver,266,14.5,2023-10-15
96,Volkswagen,Model C,2018,23526,187826,1.2,Diesel,Manual,5,Black,306,24.1,2021-03-15
97,Volkswagen,Model D,2019,26074,38302,3.7,Gasoline,Manual,2,Red,381,49.9,2020-09-26
98,Chevrolet,Model B,2018,17353,70815,4.6,Electric,Automatic,2,Red,164,45.6,2023-03-03
99,Ford,Model C,2011,15834,73344,4.3,Electric,Automatic,3,Silver,475,11.9,2022-01-15
100,Chevrolet,Model C,2021,11512,176690,1.5,Diesel,Automatic,4,Red,103,32.5,2020-04-13
101,Chevrolet,Model B,2016,30205,121603,1.5,Gasoline,Automatic,5,White,256,35.9,2022-02-04
102,Ford,Model C,2008,16390,71114,4.3,Hybrid,Automatic,3,Black,348,18.4,2020-04-04
103,Ford,Model A,2013,18608,35525,4.7,Hybrid,Manual,4,Red,356,15.8,2021-12-29
104,Ford,Model A,2010,22101,89818,2.8,Diesel,Manual,2,Red,334,46.2,2021-04-24
105,Ford,Model B,2020,21975,124589,3.0,Electric,Manual,4,Blue,405,48.8,2022-02-18
106,Volkswagen,Model D,2006,25225,155406,2.3,Gasoline,Automatic,2,Blue,465,49.7,2023-06-18
107,BMW,Model D,2012,17344,104715,4.6,Electric,Automatic,2,Blue,494,41.6,2020-01-13
108,BMW,Model B,2015,12029,16644,3.6,Hybrid,Manual,3,Black,173,36.5,2023-03-16
109,Ford,Model B,2017,10804,111154,2.2,Electric,Manual,2,White,286,23.8,2021-08-23
110,BMW,Model A,2021,15945,174005,2.2,Hybrid,Automatic,3,Grey,161,16.9,2020-04-04
111,BMW,Model D,2012,13337,53469,4.6,Gasoline,Manual,4,White,436,13.2,2020-10-19
112,Ford,Model C,2022,17874,174759,1.1,Gasoline,Automatic,4,White,263,37.7,2020-01-25
113,BMW,Model A,2022,29153,116609,2.3,Diesel,Automatic,2,Black,155,41.4,2023-07-19
114,Chevrolet,Model B,2018,17359,193728,3.2,Diesel,Manual,3,Black,210,43.1,2023-04-04
115,Toyota,Model D,2019,17356,158447,1.6,Electric,Manual,2,Blue,317,46.6,2022-07-27
116,Toyota,Model C,2010,19885,75206,1.4,Gasoline,Manual,3,Red,339,45.2,2022-01-31
117,Ford,Model C,2015,17160,106462,4.3,Gasoline,Automatic,3,Silver,120,50.0,2023-01-15
118,Volkswagen,Model A,2017,19528,177679,4.6,Diesel,Automatic,3,Silver,240,19.8,2021-10-15
119,Ford,Model D,2005,23786,93178,4.3,Hybrid,Manual,4,Grey,364,40.5,2022-09-11
120,Volkswagen,Model D,2010,26193,165065,4.6,Electric,Automatic,3,Red,238,33.5,2021-09-29
121,Toyota,Model B,2013,27022,185458,3.2,Electric,Automatic,4,Grey,169,20.4,2021-05-05
122,Ford,Model D,2012,34397,187359,4.2,Diesel,Automatic,3,Blue,484,49.3,2023-03-10
123,Honda,Model D,2015,23985,96724,2.5,Gasoline,Manual,4,Grey,217,45.9,2023-01-31
124,Chevrolet,Model A,2013,35641,106393,3.7,Diesel,Automatic,5,Red,297,15.1,2023-06-03
125,BMW,Model D,2021,14564,137314,5.0,Diesel,Manual,4,Red,304,11.0,2021-07-28
126,Volkswagen,Model C,2016,34638,86312,1.9,Diesel,Manual,4,Silver,313,37.5,2020-10-20
127,Honda,Model A,2018,17337,85324,2.6,Diesel,Automatic,2,Blue,155,34.2,2022-06-14
128,BMW,Model A,2019,18025,81196,2.9,Hybrid,Manual,3,Black,386,47.4,2023-08-22
129,BMW,Model B,2020,19160,80014,1.6,Hybrid,Automatic,5,Grey,392,19.4,2023-07-01
130,Ford,Model D,2005,18469,149282,1.3,Gasoline,Manual,2,Silver,274,13.4,2023-04-18
131,BMW,Model B,2014,20600,151994,4.3,Diesel,Manual,3,Grey,446,20.4,2020-02-09
132,Chevrolet,Model C,2012,15939,177361,4.9,Hybrid,Automatic,5,Grey,469,10.8,2022-02-14
133,Honda,Model A,2022,25809,43340,2.6,Gasoline,Manual,5,Black,227,11.4,2021-06-03
134,BMW,Model A,2005,16130,49850,1.4,Diesel,Manual,5,Blue,477,46.6,2021-06-29
135,Ford,Model A,2006,24589,198056,1.3,Electric,Manual,3,Red,424,24.1,2020-08-23
136,Chevrolet,Model C,2005,30694,123711,4.6,Hybrid,Automatic,5,White,391,26.4,2021-04-07
137,Toyota,Model C,2005,17500,21094,2.9,Gasoline,Automatic,5,Grey,387,10.7,2023-06-05
138,Honda,Model B,2013,25560,97959,2.3,Electric,Manual,2,White,325,20.8,2021-04-27
139,BMW,Model B,2017,23914,174490,2.9,Diesel,Manual,4,Blue,163,42.2,2021-03-05
140,Ford,Model B,2005,35770,15741,2.3,Diesel,Manual,3,White,147,34.6,2022-11-11
141,Toyota,Model D,2017,16466,121585,3.0,Diesel,Automatic,4,Grey,301,40.2,2020-12-08
142,Toyota,Model A,2011,25565,132564,4.4,Hybrid,Automatic,2,Black,436,27.9,2022-11-29
143,Volkswagen,Model A,2006,8617,78798,3.4,Gasoline,Manual,4,White,159,22.4,2023-04-11
144,Chevrolet,Model B,2010,16528,126026,3.8,Electric,Automatic,5,Blue,496,29.3,2023-04-17
145,BMW,Model A,2011,22473,120130,2.5,Gasoline,Automatic,5,Blue,356,22.9,2020-05-12
146,Ford,Model B,2018,29752,32164,4.0,Hybrid,Automatic,3,Black,164,43.6,2020-12-16
147,Volkswagen,Model D,2022,11418,176667,3.7,Gasoline,Automatic,3,White,338,21.9,2021-05-20
148,Chevrolet,Model D,2019,25502,40257,1.5,Hybrid,Manual,3,White,388,36.4,2020-03-24
149,Volkswagen,Model C,2006,19557,155283,3.3,Diesel,Automatic,2,Red,137,15.5,2022-09-19
150,Honda,Model D,2014,9349,105989,2.0,Electric,Automatic,3,Silver,124,37.5,2022-04-09
151,Chevrolet,Model B,2016,21271,146304,4.2,Diesel,Manual,2,Blue,158,46.5,2022-05-10
152,Chevrolet,Model D,2021,31964,62691,2.7,Gasoline,Manual,5,Red,456,34.3,2020-12-08
153,BMW,Model C,2012,12157,89768,5.0,Diesel,Automatic,4,Blue,482,32.4,2023-07-27
154,Chevrolet,Model A,2015,19230,166685,1.4,Electric,Automatic,5,Red,396,48.4,2022-05-15
155,Volkswagen,Model B,2007,13093,24026,4.1,Diesel,Manual,5,Silver,257,35.1,2023-07-10
156,Chevrolet,Model A,2010,16719,194607,3.7,Electric,Manual,5,Red,156,20.4,2023-04-04
157,BMW,Model C,2013,30025,40908,4.1,Electric,Manual,3,Blue,147,21.7,2020-10-19
158,BMW,Model C,2010,18099,193185,2.2,Diesel,Automatic,3,White,427,38.2,2023-06-03
159,Honda,Model C,2013,29810,29610,3.0,Hybrid,Automatic,3,Blue,155,39.4,2023-04-08
160,Volkswagen,Model A,2011,27763,187718,4.2,Gasoline,Manual,4,Grey,164,22.1,2021-08-20
161,Toyota,Model A,2013,17460,73185,1.9,Hybrid,Automatic,3,Black,367,23.8,2021-10-06
162,Toyota,Model A,2022,16481,82567,1.9,Hybrid,Manual,2,Black,168,49.6,2021-03-23
163,Chevrolet,Model A,2016,13728,188646,3.2,Diesel,Automatic,5,Grey,315,14.1,2021-11-20
164,Honda,Model C,2012,13483,46182,3.1,Gasoline,Manual,4,Black,489,26.2,2022-09-28
165,Ford,Model C,2012,22472,126136,2.1,Gasoline,Manual,4,Black,188,12.5,2022-05-04
166,Chevrolet,Model B,2022,19861,141642,2.2,Hybrid,Automatic,4,Silver,380,42.8,2021-05-16
167,Honda,Model B,2019,15634,29288,2.1,Diesel,Automatic,4,White,356,13.7,2022-02-02
168,Volkswagen,Model A,2011,9158,88824,4.1,Gasoline,Automatic,4,White,259,37.0,2022-01-04
169,Volkswagen,Model D,2015,20743,170949,3.6,Hybrid,Automatic,2,Blue,333,12.3,2023-11-03
170,Volkswagen,Model D,2020,16713,94425,4.3,Gasoline,Automatic,5,Grey,230,36.9,2023-05-09
171,Volkswagen,Model C,2008,18632,10917,4.9,Diesel,Automatic,4,Red,148,43.7,2020-09-06
172,Volkswagen,Model C,2010,22132,85602,2.9,Diesel,Manual,5,Blue,246,26.0,2023-12-03
173,Honda,Model C,2007,3000,74575,1.3,Diesel,Automatic,3,Blue,415,30.9,2021-08-23
174,Honda,Model B,2013,9267,82518,1.2,Gasoline,Manual,4,Blue,101,26.1,2020-05-04
175,BMW,Model B,2014,36075,49104,2.2,Electric,Manual,4,Blue,428,22.0,2020-04-22
176,Toyota,Model C,2018,16453,159134,4.7,Gasoline,Automatic,5,White,244,42.1,2022-09-07
177,Volkswagen,Model C,2015,3000,26999,3.1,Electric,Manual,4,Red,465,20.9,2023-03-06
178,Ford,Model C,2022,9850,151013,2.1,Diesel,Manual,4,Blue,160,38.9,2020-05-29
179,Honda,Model D,2016,37391,71169,2.6,Hybrid,Automatic,4,White,372,18.2,2022-05-24
180,Ford,Model B,2016,15079,164542,3.4,Electric,Automatic,2,Blue,148,20.0,2020-12-08
181,Ford,Model D,2017,28113,139744,3.6,Diesel,Automatic,2,Black,431,23.5,2021-08-02
182,Ford,Model D,2017,20847,120684,1.6,Diesel,Manual,4,Blue,230,33.6,2022-02-21
183,BMW,Model C,2018,16605,69821,4.9,Electric,Automatic,2,Grey,142,28.2,2020-11-16
184,Honda,Model C,2008,25428,185507,3.2,Hybrid,Automatic,3,Grey,156,39.8,2022-04-01
185,Ford,Model A,2017,3309,145601,1.5,Diesel,Automatic,4,Blue,149,18.5,2021-06-15
186,Volkswagen,Model A,2012,9912,22192,4.6,Electric,Automatic,3,Silver,277,10.4,2023-08-05
187,Chevrolet,Model D,2016,16553,84102,1.3,Hybrid,Manual,5,Black,392,41.1,2021-05-06
188,Ford,Model B,2022,10599,124894,4.6,Hybrid,Automatic,3,Red,145,42.9,2021-09-03
189,BMW,Model C,2010,15934,96795,5.0,Diesel,Manual,5,Blue,269,12.4,2020-09-08
190,Honda,Model C,2022,25975,175159,3.8,Gasoline,Automatic,4,Red,370,34.4,2023-01-05
191,BMW,Model D,2009,20924,76677,4.1,Gasoline,Manual,5,Black,435,25.1,2023-11-16
192,Ford,Model A,2013,29314,145699,2.3,Diesel,Manual,5,Blue,238,41.8,2023-12-06
193,Honda,Model B,2007,21367,197613,4.8,Hybrid,Manual,3,Silver,346,45.0,2020-06-21
194,Chevrolet,Model A,2014,26947,144327,3.1,Diesel,Automatic,3,White,247,44.0,2022-05-24
195,Ford,Model A,2007,19551,198505,3.9,Electric,Manual,3,Silver,329,41.1,2020-07-19
196,BMW,Model A,2019,15868,146285,4.7,Gasoline,Automatic,4,Silver,379,20.8,2020-08-04
197,Toyota,Model A,2005,30363,112412,4.9,Electric,Automatic,4,White,224,42.5,2021-01-10
198,Volkswagen,Model C,2011,15034,29404,4.3,Diesel,Automatic,3,White,291,31.3,2020-01-11
199,BMW,Model C,2016,22406,126545,2.2,Diesel,Automatic,4,Grey,473,12.1,2022-11-01
200,Honda,Model A,2021,25382,166452,4.9,Hybrid,Automatic,4,White,179,28.3,2022-06-10
201,Ford,Model B,2009,25890,160245,3.5,Hybrid,Manual,5,Blue,193,47.7,2021-03-10
202,Volkswagen,Model D,2008,11841,194099,4.7,Hybrid,Automatic,5,Red,325,45.5,2022-03-28
203,Ford,Model B,2016,27363,33989,3.7,Electric,Manual,3,Grey,164,14.1,2023-10-28
204,Honda,Model B,2022,13147,118106,2.2,Hybrid,Manual,4,Grey,187,39.8,2023-07-20
205,Ford,Model B,2021,25674,34519,2.5,Diesel,Manual,5,Red,187,42.2,2022-07-19
206,Toyota,Model A,2013,23746,32439,3.2,Hybrid,Manual,2,Grey,300,20.9,2021-11-21
207,Volkswagen,Model C,2008,25730,128570,4.2,Gasoline,Manual,4,White,313,28.9,2023-03-01
208,Volkswagen,Model B,2006,11564,24995,2.3,Hybrid,Manual,2,Silver,303,38.4,2022-05-04
209,Honda,Model A,2008,24115,33559,3.3,Electric,Manual,3,Black,481,27.6,2022-02-22
210,Toyota,Model B,2006,27599,99049,2.4,Gasoline,Automatic,4,White,188,14.5,2020-11-14
211,BMW,Model B,2019,21353,146093,4.3,Gasoline,Manual,3,Silver,160,38.2,2022-04-23
212,Ford,Model A,2006,14269,108000,2.9,Gasoline,Automatic,3,Silver,370,46.5,2021-09-12
213,Chevrolet,Model C,2008,26438,162191,1.3,Electric,Manual,3,Grey,193,36.1,2022-02-23
214,Ford,Model C,2010,20797,192611,1.7,Diesel,Manual,3,Blue,406,41.0,2023-04-06
215,Ford,Model D,2011,8278,49350,1.2,Hybrid,Manual,3,Blue,126,24.3,2021-01-31
216,BMW,Model A,2014,13726,187295,3.0,Gasoline,Manual,4,Grey,313,17.3,2023-04-18
217,Ford,Model D,2016,16315,35517,1.4,Gasoline,Automatic,2,Grey,173,35.7,2022-12-17
218,Toyota,Model D,2007,30540,163322,1.5,Gasoline,Automatic,4,Red,160,23.1,2021-04-04
219,Toyota,Model D,2017,29311,99132,4.8,Diesel,Automatic,4,Red,285,44.4,2020-03-01
220,Volkswagen,Model C,2022,29288,195271,4.5,Diesel,Manual,4,Black,130,14.9,2021-01-03
221,Honda,Model A,2012,21626,69546,2.8,Electric,Manual,5,Black,318,27.3,2023-02-18
222,Chevrolet,Model D,2019,26395,115686,4.9,Diesel,Manual,5,Black,111,25.9,2021-12-19
223,Ford,Model A,2005,12014,98151,1.0,Hybrid,Automatic,4,Black,401,47.5,2021-06-29
224,Ford,Model A,2007,20047,13327,3.5,Electric,Manual,2,Silver,131,16.1,2022-11-06
225,BMW,Model C,2012,23161,130318,3.5,Electric,Automatic,4,Silver,259,10.4,2021-05-10
226,Honda,Model D,2008,12475,170840,2.8,Hybrid,Automatic,3,Red,336,19.5,2021-05-11
227,Toyota,Model D,2020,21469,183860,2.6,Hybrid,Manual,5,Blue,326,42.8,2021-05-19
228,Chevrolet,Model A,2014,31806,125945,2.8,Hybrid,Manual,5,Grey,280,18.4,2022-08-26
229,Volkswagen,Model B,2016,23911,56830,2.7,Electric,Automatic,4,Blue,416,19.6,2023-08-31
230,Toyota,Model C,2018,26422,62446,3.9,Electric,Automatic,4,White,145,15.2,2022-12-28
231,Honda,Model C,2018,3000,156232,1.5,Electric,Automatic,2,Silver,440,38.6,2020-06-09
232,Volkswagen,Model C,2006,30905,197655,1.8,Hybrid,Manual,2,Black,179,12.8,2021-12-18
233,BMW,Model C,2009,18697,175070,1.7,Hybrid,Manual,3,Black,234,23.2,2023-03-14
234,BMW,Model D,2009,14619,168302,2.0,Gasoline,Manual,4,White,359,21.3,2022-09-19
235,Ford,Model D,2010,18777,150148,3.1,Diesel,Manual,4,Blue,407,32.2,2023-11-09
236,Honda,Model B,2017,9604,79341,1.4,Gasoline,Manual,4,Black,346,39.2,2020-09-25
237,Chevrolet,Model C,2013,27335,41085,4.5,Hybrid,Manual,5,Blue,258,31.3,2021-11-29
238,Volkswagen,Model C,2019,17652,65571,2.2,Electric,Automatic,3,Grey,302,47.2,2022-05-14
239,Toyota,Model A,2018,14829,155787,1.7,Hybrid,Automatic,2,White,211,48.1,2020-12-15
240,Honda,Model D,2011,18823,138308,3.7,Diesel,Automatic,5,Blue,391,24.5,2020-04-19
241,Honda,Model C,2006,27826,15750,1.2,Gasoline,Manual,5,Grey,409,41.1,2021-02-10
242,BMW,Model B,2011,20920,123931,3.5,Gasoline,Automatic,5,Blue,218,39.6,2021-10-11
243,Ford,Model B,2010,10132,88768,3.8,Electric,Manual,5,Blue,482,45.7,2020-02-20
244,Ford,Model D,2021,23254,45903,1.9,Gasoline,Manual,3,Black,116,27.9,2023-11-27
245,Volkswagen,Model B,2006,13497,173165,1.2,Gasoline,Automatic,4,Red,430,31.2,2023-01-15
246,BMW,Model B,2007,4907,101036,2.5,Hybrid,Manual,2,Silver,326,26.6,2022-12-27
247,Honda,Model D,2009,30472,97954,1.4,Gasoline,Automatic,2,Blue,460,44.0,2021-08-18
248,Chevrolet,Model C,2009,23200,175386,1.5,Gasoline,Automatic,5,Blue,216,19.2,2022-09-05
249,BMW,Model C,2005,19452,189297,2.0,Gasoline,Manual,5,Blue,142,19.6,2022-12-01
250,Volkswagen,Model B,2012,17580,93014,2.2,Electric,Automatic,3,Red,467,24.9,2021-12-31
251,Volkswagen,Model B,2016,29779,176251,3.1,Electric,Automatic,5,Grey,214,19.2,2020-02-26
252,BMW,Model C,2008,41610,127305,3.7,Hybrid,Automatic,2,White,382,32.4,2022-01-07
253,Volkswagen,Model D,2017,23141,166410,3.4,Gasoline,Automatic,2,Black,136,15.4,2020-07-14
254,BMW,Model B,2019,12792,42101,1.6,Electric,Manual,4,Red,401,22.8,2022-12-21
255,Toyota,Model A,2015,18918,12775,1.7,Electric,Automatic,4,Grey,212,46.5,2023-07-10
256,BMW,Model D,2014,23014,121497,4.5,Hybrid,Automatic,2,Blue,134,26.4,2020-04-21
257,BMW,Model B,2007,3553,55619,3.2,Diesel,Automatic,2,Grey,231,39.9,2022-02-03
258,Volkswagen,Model B,2018,22341,186910,4.5,Gasoline,Manual,3,Red,435,14.5,2021-12-11
259,Volkswagen,Model A,2020,23054,160611,2.5,Electric,Automatic,3,Red,435,19.9,2023-04-16
260,Ford,Model A,2014,29284,67124,3.5,Hybrid,Manual,2,Red,476,42.3,2022-08-05
261,Ford,Model C,2014,28554,75149,3.1,Hybrid,Automatic,5,White,327,40.5,2020-01-26
262,Toyota,Model D,2016,20778,36616,2.3,Hybrid,Automatic,4,Silver,246,25.4,2021-02-13
263,Ford,Model D,2013,30602,195639,2.9,Electric,Automatic,2,Black,221,48.2,2022-01-27
264,BMW,Model C,2005,34249,178171,3.0,Gasoline,Manual,5,White,180,46.4,2021-06-14
265,Volkswagen,Model D,2009,20195,71799,1.8,Diesel,Manual,2,White,272,48.5,2023-09-02
